version,time_ms,gflops,throughput_gb_s,num_threads,num_ranks
Sequential,53902.2,0.296834,0.001781,1,1
OpenMP_1T,74568.6,0.214567,0.0012874,1,1
OpenMP_2T,41240.6,0.387967,0.0023278,2,1
OpenMP_3T,29685.9,0.538976,0.00323386,3,1
OpenMP_4T,26680.6,0.599687,0.00359812,4,1
OpenMP_5T,25845.7,0.619059,0.00371435,5,1
OpenMP_6T,24029.4,0.665851,0.00399511,6,1
OpenMP_7T,25364.7,0.630797,0.00378478,7,1
OpenMP_8T,27079.5,0.590853,0.00354512,8,1
MPI_2R,29548.2,0.541487,0.00324892,1,2
MPI_4R,21412.8,0.747217,0.0044833,1,4
Hybrid_2R_1T,30514.4,0.524343,0.00314606,1,2
Hybrid_2R_2T,21098.3,0.758356,0.00455014,2,2
